,Estado,Año,PIB en miles de pesos,Total gasto público en salud,Subtotal no asegurados,Gasto administrativo SSA,Aportaciones federales,Gasto estatal en salud,Subtotal asegurados,IMSS,ISSSTE,Cuotas de recuperación,Primas de seguros médicos,Total gasto en salud % PIB,Total gasto en salud % gasto público,Gasto en salud asegurados per cápita,Gasto en salud no asegurados per cápita,Total gasto en salud per cápita,Aportación federal % no asegurados
268,Campeche,2008-01-01,1032030325.74,5684105.73,3263645.25,1041240.92,1050834.24,1051900.1,2420460.48,1488577.3,296470.76,25430.55,34631.87,0.6,7.8,6574.16,7392.88,7020.56,67.8
269,Coahuila de Zaragoza,2008-01-01,559463277.27,10915637.3,2697180.72,1217264.69,1117725.6,123233.18,8218456.58,7388494.87,775293.14,162742.98,971532.55,2.0,22.9,4179.22,3657.67,4036.99,95.4
270,Colima,2008-01-01,91459866.66,3152915.72,1484073.62,643978.6,812158.23,27936.8,1668842.1,1403747.91,265094.19,12605.68,77097.88,3.4,10.6,4759.55,5300.72,4999.81,98.1
271,Chiapas,2008-01-01,305571824.03,13240179.17,10081449.33,5448617.72,3032331.85,297938.06,3158729.84,2396674.73,655040.15,43385.74,87224.65,4.3,17.3,3713.25,2577.44,2780.34,97.0
272,Chihuahua,2008-01-01,515839561.27,14918493.03,5580339.35,1727359.91,1884120.13,1579838.38,9338153.68,8405460.93,798677.03,78743.52,1150165.52,2.9,22.2,4284.88,4456.47,4347.5,71.7
273,Distrito Federal,2008-01-01,2861751946.9,91782805.78,20616964.08,10561421.48,3347497.51,6224209.95,71165841.7,45666696.48,22358688.62,37123.75,18640520.81,3.2,9.8,14088.91,5261.82,10232.86,69.8
274,Durango,2008-01-01,186320163.97,6613062.02,2963092.65,1053869.78,1522463.61,32744.87,3649969.37,2904616.05,640992.69,86441.43,94585.81,3.5,15.3,4257.25,3843.35,4061.28,98.9
275,Guanajuato,2008-01-01,584990609.57,18143602.95,9824601.15,6535974.29,2231801.28,1056825.57,8319001.8,6661478.37,1086413.58,131218.75,574105.09,3.1,25.2,3764.19,3043.94,3336.68,89.2
276,Guerrero,2008-01-01,234224998.6,11215664.46,7120969.71,3387203.47,3421978.58,311787.66,4094694.75,3165719.96,928974.79,202352.62,74418.04,4.8,17.0,5031.6,2773.89,3317.32,95.6
277,Hidalgo,2008-01-01,244069109.69,8307750.03,5103359.4,2348571.38,2097153.08,145996.02,3204390.63,2333309.73,529277.44,252507.34,139381.12,3.4,12.9,3877.9,2868.91,3188.94,97.1
278,Jalisco,2008-01-01,1046913853.85,27282092.22,11116816.89,4433449.53,4017464.83,2665902.53,16165275.33,14795868.56,1233408.81,74495.98,2361913.88,2.6,28.0,4333.54,3191.45,3782.04,76.0
279,México,2008-01-01,1368082853.81,42385076.03,26012215.15,12324205.19,7099410.24,6588599.72,16372860.89,15393630.84,924044.85,392588.01,2203912.73,3.1,27.8,2387.02,3179.49,2818.08,74.7
280,Michoacán de Ocampo,2008-01-01,376941129.53,12272494.29,7026207.99,3153414.81,2922753.06,300435.8,5246286.29,4111611.69,1037724.35,220068.95,195173.7,3.3,20.9,4131.69,2293.21,2831.89,95.7
281,Morelos,2008-01-01,195647327.08,6680689.89,3277852.69,1935844.63,1075216.08,266791.98,3402837.2,2676035.43,656960.61,52220.06,207328.85,3.4,24.0,4946.49,3077.14,3810.66,91.9
